,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@RobSchneider Terrible,1535,102,2025-04-06 06:13:30+00:00
1,elonmusk,@tedcruz Insane,1815,167,2025-04-06 06:10:39+00:00
2,elonmusk,@stevenmarkryan Sure,727,44,2025-04-06 06:10:06+00:00
3,elonmusk,@stevenmarkryan Yup,495,38,2025-04-06 06:09:14+00:00
4,elonmusk,"@MarioNawfal Once they try Diet Coke, it’s over",1658,121,2025-04-06 05:40:01+00:00
5,elonmusk,💯 https://t.co/B8ve8JOZTW,17476,3636,2025-04-06 05:38:59+00:00
6,elonmusk,@realJoeHoft !!,371,28,2025-04-06 05:36:57+00:00
7,elonmusk,@HeavyMetalShip 😂,448,29,2025-04-06 05:35:50+00:00
8,elonmusk,"@mazemoore Once he realized illegals will vote Democrat, he became a big fan of maximizing illegal immigration",1779,185,2025-04-06 05:29:08+00:00
9,elonmusk,RT @mazemoore: This is mind-blowing. Bernie Sanders in 2015: Open borders is a right-wing proposal. Immigration can make Americans poorer.…,0,5813,2025-04-06 05:28:14+00:00
10,elonmusk,That is the true test of which system is worse: it’s the side that built the wall to keep people from escaping https://t.co/LxuMmEIWE8,66189,8769,2025-04-06 05:27:42+00:00
11,elonmusk,@MarioNawfal Terrible,817,73,2025-04-06 05:26:31+00:00
12,elonmusk,"RT @cb_doge: We have so many departments, but the protests are solely against DOGE.

Why is that?",0,829,2025-04-06 05:25:38+00:00
13,elonmusk,"Radical left policies lead to annihilation
 https://t.co/UGg0DL9qLn",42526,6626,2025-04-06 05:24:55+00:00
14,elonmusk,"RT @ezralevant: If the Southport murders are anything to go by, more prison time will be served by those talking about this murder than by…",0,888,2025-04-06 05:16:20+00:00
15,elonmusk,@AnnQueefa1 @MarioNawfal Yup,511,48,2025-04-06 05:12:52+00:00
16,elonmusk,"RT @MarioNawfal: 🇬🇧UK MUM JAILED OVER SOCIAL MEDIA POST DENIED RELEASE TO SEE SICK HUSBAND &amp; CHILD

Lucy Connolly, serving 31 months for po…",0,2313,2025-04-06 05:12:43+00:00
17,elonmusk,"RT @WallStreetApes: Full breakdown of Elon Musk at 'The League Congress' hosted by Italian Deputy Prime Minister Matteo Salvini

DOGE cutti…",0,1235,2025-04-06 05:12:14+00:00
18,elonmusk,@Rothmus 😂💯,640,55,2025-04-06 05:01:19+00:00
19,elonmusk,@PkgcGop @VigilantFox Yeah,281,24,2025-04-06 04:59:43+00:00
